Venue ID,Venue Name,Venue Rating
4f3ecce6e4b0587016b6f30d,Portugril,6.5
4ccc5aebee23a14370591ea8,Lac Vien Vietnamese Restaurant,7.6
4b0aed06f964a520202a23e3,Island Foods,8.1
4b639286f964a5203c842ae3,Gonoe Sushi,6.8
4fca732be4b07c8e3e198c27,Miyako Sushi Restaurant,6.8
4bdaff7463c5c9b67bcb2568,Sorento Restaurant,7.7
4b6315b6f964a520d6612ae3,Swiss Chalet,7.1
4aec790bf964a5208fc721e3,Memories of Japan,6.8
5686b77338faf7478eb6c6aa,Asian Legend,6.0
52fd7d28498e9164b5ba53a2,Pho 88 發發餐廳,5.9
4b632004f964a520d6642ae3,Congee Star 帝王名粥,5.8
53c95181498ec1d30073384e,The Leaside Pub,7.6
530feb6b498e4958420dc8de,Kintako Japanese Restaurant,7.1
505e36d3e4b00e0d6e496b29,Mucho Burrito Fresh Mexican Grill,5.6
5331a799498e3bfbae4a5a04,Villa Madina,
4b65c410f964a52050fe2ae3,Bagel Plus,7.5
4bc3acbdabf495210a22c493,Orly Restaurant & Grill,7.3
4c9fd84e542b224b3f2701a0,Wakame Sushi,6.5
4d6ee5fa38a588bfbed306e1,China Court,
4daf08e66e81e2dffdd4fe40,Iqbal Kebab & Sweet Centre,7.9
4bed9f2fbac3c9b6ad93fee9,Hakka Garden,6.3
5d30009ce299c90008a9820d,A&W,6.4
5a20351f65cdf8220f0a79f2,Kandahar Kabab,
4b564423f964a520520828e3,Swiss Chalet,5.9
4ae083d4f964a520d47f21e3,Moxie's Classic Grill,7.9
4af5ff72f964a520f6ff21e3,New York Fries - Fairview Mall,7.5
5650fa8e498e405c38a5e6d4,Thai Express,6.3
5952e5ed491be7022cf5d19f,Heart Sushi,6.2
4c8ff7f5de3d236a27d86718,KFC,6.0
4ae1aee0f964a520be8621e3,Spring Rolls,6.0
4c7ab7d6a8683704868a144d,McDonald's,5.9
4c16833b96040f4707f672a5,Bourbon St. Grill,5.9
4bc0aa02b492d13aa198a460,Jimmy The Greek,
4d8a204c7139b1f772dac3d4,Manchu Wok,
4be1b4df8c2bc9b6e4c0420b,Teriyaki Experience,
5a036eaf588e3631c784b5ba,Yoi,
4c8d0dd555fba09324db64ab,Fit For Life,
4b9fe242f964a520614737e3,Carribean Heat,7.3
4bd396d041b9ef3b799c00e6,Sun Star Chinese Cuisine 翠景小炒,6.6
5404d153498ebbc7332f3e4e,Kaga Sushi,
588cf74e5289302f30e711e1,Darbar Persian Grill,7.6
4ffa10f4e4b0956dd65a4aae,Sakura Garden,7.3
50521bc4e4b0252d054ee36b,Drums N Flats,7.2
4bcba746fb84c9b65d5a1f3e,Satay on the Road,7.1
4d796616542ab1f75eb87c41,The Copper Chimney,7.3
54bd9fa8498e72620bb03b45,Francobollo,6.9
4e30609b922e065e29f3a61b,Karbouzi Greek Taverna,6.9
4bc13313f8219c743e18b310,Il Fornaro,6.3
4ad4c05cf964a520cbf520e3,Safari Bar and Grill,6.6
57ccaabc498eeafce8d889e6,2 Brothers shawarma,
5841b760e110955af030954d,El Nahual,
5a02789d0a464d3112a58785,Konjiki Ramen,8.0
5077025ce4b05aefca37d9f9,Wako Sushi + Bar,7.3
5ab5accd6bd36b087487be93,Aburi Room,6.8
4b315d90f964a520840525e3,Ajisen Ramen 味千ラーメン,6.4
537befcc498edb1da559269b,Symposium Cafe Restaurant & Lounge,6.4
4b832e14f964a5200dfc30e3,Wendy’s,6.2
4bb628fbef159c74e18075f7,Shawarma Max,6.4
544ad69a498eeb86b7a4a8d0,Kinton Ramen,6.1
4b4779f0f964a520543326e3,Pho 88 Vietnamese Cuisine,6.1
4b8bffc6f964a52076b732e3,Ichiban Fish House,5.7
5bb92d3ec53093002c1d6a1a,PROJECT:FISH,
