Venue ID,Venue Name,Venue Rating
5612b1cc498e3dd742af0dc8,Impact Kitchen,8.8
53a22c92498ec91fda7ce133,Cluny Bistro & Boulangerie,8.3
51ddecee498e1ffd34185d2f,El Catrin,7.9
4a8355bff964a520d3fa1fe3,Mercatto,8.3
52d884c5498ecf5c7cafe5ab,Nando's,8.1
4afca145f964a5208e2422e3,Tokyo Sushi,8.2
4fb593c0e4b05a76e2ab2951,Como En Casa,8.2
4c792e4981bca093af5efc14,Crown Princess Fine Dining 伯爵名宴,7.3
4e7f58dbf790b7f027d71d70,Gallery Grill,
509e9ef6e4b0ab175389a6c5,Hokkaido Ramen Santouka らーめん山頭火,8.0
4ad4c061f964a52095f720e3,Salad King,8.0
4df909dfe4cd2129701c0690,JOEY Eaton Centre,7.8
4b2bd898f964a52042bc24e3,Kinka Izakaya Original,8.6
4adf8077f964a5202d7b21e3,Kabul Express,7.5
560b1653498e1a2dfa4af722,Kinton Ramen,8.5
4e5d8181a8092f63968617ee,Crepe Delicious,8.1
4adc9148f964a520512d21e3,Chipotle Mexican Grill,7.5
539c6f13498e06f4cc765165,The Elm Tree Restaurant,8.3
4e8363c6e5fa5681e8c00e54,Bourbon St. Grill,7.6
4ad9ffbbf964a520091d21e3,Jack Astor's Bar & Grill,7.3
52f6816f11d24a43115dc834,Scaddabush Italian Kitchen & Bar,7.9
4fe4a773e4b0ef61f5212ecd,Spring Sushi,7.2
4d306dd82748b60c62b6dba0,Trattoria Mercatto,7.7
58e91d60e0adac258fcea481,GB Hand-Pulled Noodles,7.8
4c4e2474f53d0f47f18b13a6,Ethiopiques,7.2
4ae3398ff964a520ed9121e3,Red Lobster,7.7
599cb69eb5461876d54ab713,Katsuya,7.3
5a62412b1108ba191da5ba06,KAKA,7.7
4c9cd4d37c096dcb9034c5d1,Paramount Fine Foods,7.0
4aea2b14f964a520ebb921e3,Fine Asian Bowl,6.7
574ad72238fa943556d93b8e,Gyu-Kaku Japanese BBQ,8.9
4af618daf964a520220122e3,GEORGE Restaurant,8.6
4b72f550f964a5202e922de3,Mystic Muffin,8.9
4b49183ff964a520a46526e3,Terroni,8.3
506db1a9e4b0a3f3b31412f0,Richmond Station,9.0
529e7344498e18bff5e60191,The Carbon Bar,8.0
4b999927f964a5207c8635e3,NAMI,7.9
50b7c53616485cd9efad60d5,Sukhothai,8.4
5214e7c111d2a83379eae21f,The Chase,8.0
57d0a3fb498e0fb29e892eed,Leña,7.8
5b5bca904aa3f8002c97f85d,Fresh On Front,8.5
534effeb498e6464d5c4885c,Market Street Catch,8.1
561ffc99498e1468dac63cdd,Schnitzel Queen,8.2
4b86b209f964a520cf9631e3,Buster's Sea Cove,7.9
54593679498e9c3b842c216d,Loaded Pierogi,7.5
4b0f3cd2f964a520b66023e3,Biff's Bistro,7.8
4d3997e1687ca35dbd0081c4,The Gabardine,7.7
4ba90db8f964a5203f073ae3,Sweet Lulu,7.4
4ad4c061f964a520acf720e3,The Sultan's Tent and Cafe Moroc,7.1
4dfe1cf0a809d61e2fc568ce,Bannock,7.2
4ad4c060f964a52057f720e3,Jump,7.1
4ad4c05df964a52055f620e3,Bier Markt Esplanade,7.0
4ba5616ff964a520390139e3,Berber SOCIAL,6.7
4c11888fd917c92837f4b562,"Oliver & Bonacini Café Grill, Yonge and Front",6.3
4b56a44ff964a5206e1728e3,The Keg Steakhouse + Bar - Esplanade,8.5
5b5bca904aa3f8002c97f85d,Fresh On Front,8.5
50b7c53616485cd9efad60d5,Sukhothai,8.4
4b0f3cd2f964a520b66023e3,Biff's Bistro,7.8
534effeb498e6464d5c4885c,Market Street Catch,8.1
4b86b209f964a520cf9631e3,Buster's Sea Cove,7.9
54593679498e9c3b842c216d,Loaded Pierogi,7.5
5a4fdf56772fbc5e9fa73c7f,Chotto Matte,7.9
50fd7b1b582f9d035e57a426,The Works Gourmet Burger Bistro,7.7
4b75f350f964a5207c312ee3,Alexandro's World Famous Gyros,7.4
4b3d5882f964a520d29225e3,Oyshi Sushi,7.0
4b9137f3f964a520e2aa33e3,European Delight,7.3
4ada4b1ef964a520022121e3,The Old Spaghetti Factory,6.6
4b744336f964a520d8d02de3,Somethin' 2 Talk About,8.0
4a8355bff964a520d3fa1fe3,Mercatto,8.3
539c6f13498e06f4cc765165,The Elm Tree Restaurant,8.3
4ae7b27df964a52068ad21e3,Japango,8.3
5a62412b1108ba191da5ba06,KAKA,7.7
504bbf2ce4b0168121235cbe,Sansotei Ramen 三草亭,7.9
52f6816f11d24a43115dc834,Scaddabush Italian Kitchen & Bar,7.9
4aeb711ef964a52017c221e3,Vegetarian Haven,8.7
52d884c5498ecf5c7cafe5ab,Nando's,8.1
4ae3398ff964a520ed9121e3,Red Lobster,7.7
4ad4c061f964a52095f720e3,Salad King,8.0
4df909dfe4cd2129701c0690,JOEY Eaton Centre,7.8
4b8c0fa3f964a52085bb32e3,Lebanon Express,7.8
57c07e5f498ed3724a049dc1,Colaba Junction,7.0
4ba8f061f964a520e8fb39e3,Midi Bistro,7.0
59f25bd825ecca5f1cf24d0c,Omai,6.6
5ab3d9f875a6ea3a7ddc4d2b,Thai Express,6.3
54fb2f8d498e724a96c14f91,Tosto,6.2
4c45cd36f0bdd13a8371cbcc,Teriyaki Experience,
552db032498e660b6506230c,Mo'Ramyun,5.7
4b003cf6f964a520d73b22e3,Vinny’s Panini,7.7
4f737b84e4b060af1b23c5b7,Actinolite,7.9
4ad69511f964a520e40721e3,The Keg Steakhouse + Bar - York Street,8.7
5aff06ca6e4650002cc6286b,Rosalinda,8.6
50468014e4b01c18bb731df8,Bosk at Shangri-La,8.5
50ecb1fae4b0beb13294f0aa,John & Sons Oyster House,8.3
509bb871e4b09c7ac93f6642,JaBistro,8.6
55fc571f498ec35023360858,Cactus Club Cafe,7.9
5b1a76586f0aa2002c5d9a0c,Kojin,7.6
529612de11d2ab526191ccc9,Pai,9.2
506db1a9e4b0a3f3b31412f0,Richmond Station,9.0
5321f4d9e4b07946702e6e08,Byblos Toronto,9.0
4ad4c05df964a52059f620e3,Canoe,8.6
4afa1f33f964a520e91622e3,Fune Japanese Restaurant,7.6
52ec621e498ec68fa15ee922,Copacabana Grilled Brazilian,8.1
50e44770e4b0e03a48c0d8a8,Kupfert & Kim (First Canadian Place),7.7
4ac4e289f964a520699f20e3,Yuzu No Hana,7.9
5578720f498ee3b165b1f32b,The Burger's Priest,7.6
5214e7c111d2a83379eae21f,The Chase,8.0
4b50d070f964a5206d3327e3,Thai Island,7.1
57d0a3fb498e0fb29e892eed,Leña,7.8
4ae7199ff964a52068a821e3,Bymark,7.7
5632426a498e0433cad5aa04,Ruby Thai (First Canadian Place),7.1
4ee117150cd686aafce847f4,The Fifth & Terrace,7.4
4bd5ba4c637ba593dcddf670,Bardi's Steak House,7.6
5a5659ab17556229a036b74a,Parallel,8.6
4c9fbdd77c096dcbfe43e1d1,e11even,7.7
56201ed4498e7f700c462170,Miku,8.5
